F1-known,F1-open,F1,Acc,dataset,method,known_cls_ratio,labeled_ratio,seed
72.5483,72.5302,72.5481,71.39,oos,MSP,0.5,0.2,2
22.0901,43.4983,22.4529,36.17,banking,OpenMax,0.75,0.4,0
84.7022,86.8639,84.8987,85.65,stackoverflow,ADB,0.5,1.0,1
83.1107,46.5823,82.4916,75.23,banking,DeepUnk,0.75,0.8,0
70.1165,61.2731,70.0001,64.65,oos,MSP,0.5,0.4,2
77.3824,66.5858,77.1056,70.97,banking,DOC,0.5,1.0,0
84.8573,70.0,83.9287,80.03,stackoverflow,ADB,0.75,0.2,1
76.5685,56.0484,76.2207,71.07,banking,DOC,0.75,0.2,0
69.1454,57.1897,68.9881,62.32,oos,MSP,0.5,0.6,2
49.709,50.5818,49.7238,52.92,banking,OpenMax,0.75,0.6,0
81.6056,53.434,81.1282,74.68,banking,DOC,0.75,0.4,0
86.1829,72.0783,85.3014,81.7,stackoverflow,ADB,0.75,0.4,1
69.6681,57.0316,69.5018,62.44,oos,MSP,0.5,0.8,2
83.3897,45.7539,82.7518,75.36,banking,DeepUnk,0.75,1.0,0
46.3728,56.4876,46.6322,49.3,oos,DeepUnk,0.25,0.2,0
61.4223,79.2797,61.8802,71.28,oos,DeepUnk,0.25,0.4,0
82.8524,49.2024,82.2821,75.19,banking,DOC,0.75,0.6,0
61.1073,77.7386,61.5337,69.74,oos,DeepUnk,0.25,0.6,0
52.6274,51.6015,52.61,55.16,banking,OpenMax,0.75,0.8,0
65.0945,81.7172,65.5207,74.25,oos,DeepUnk,0.25,0.8,0
86.4615,72.3754,85.5811,81.98,stackoverflow,ADB,0.75,0.6,1
67.42699999999999,50.5485,67.205,58.81,oos,MSP,0.5,1.0,2
62.3506,79.4581,62.7893,71.68,oos,DeepUnk,0.25,1.0,0
63.3725,50.1665,63.1987,55.44,oos,DeepUnk,0.5,0.2,0
82.5895,40.4494,81.8752,73.86,banking,DOC,0.75,0.8,0
82.0473,70.2454,81.9428,77.07,oos,MSP,0.75,0.2,2
69.6958,66.8613,69.6585,66.6,oos,DeepUnk,0.5,0.4,0
59.059,54.0763,58.9745,59.9,banking,OpenMax,0.75,1.0,0
74.2854,74.3209,74.2859,72.68,oos,DeepUnk,0.5,0.6,0
87.1016,73.7232,86.2654,82.92,stackoverflow,ADB,0.75,0.8,1
18.7362,89.9594,20.5624,82.19,oos,OpenMax,0.25,0.2,0
82.5676,63.9866,82.4032,75.42,oos,MSP,0.75,0.4,2
72.5512,72.0825,72.5451,70.72,oos,DeepUnk,0.5,0.8,0
85.5029,57.7922,85.0333,79.12,banking,DOC,0.75,1.0,0
51.2393,92.3423,52.2933,86.86,oos,OpenMax,0.25,0.4,0
68.0066,88.5008,68.5321,82.21,oos,DOC,0.25,0.2,0
56.1584,92.6425,57.0939,87.53,oos,OpenMax,0.25,0.6,0
73.0672,71.7134,73.0494,70.72,oos,DeepUnk,0.5,1.0,0
57.4941,76.9535,57.9931,68.3,oos,DOC,0.25,0.4,0
60.7327,93.014,61.5604,88.26,oos,OpenMax,0.25,0.8,0
81.8108,59.521,81.6135,73.63,oos,MSP,0.75,0.6,2
73.4745,39.8247,73.1768,62.47,oos,DeepUnk,0.75,0.2,0
62.1597,79.9484,62.6158,72.02,oos,DOC,0.25,0.6,0
63.9597,93.4094,64.7148,89.04,oos,OpenMax,0.25,1.0,0
86.9502,73.1681,86.0888,82.63,stackoverflow,ADB,0.75,1.0,1
64.8254,83.2328,65.2974,76.05,oos,DOC,0.25,0.8,0
66.8911,53.5817,62.4546,53.71,snips,ADB,0.25,0.2,1
78.7919,61.3497,78.6375,71.82,oos,DeepUnk,0.75,0.4,0
11.6575,76.7123,12.5135,63.32,oos,OpenMax,0.5,0.2,0
71.3408,65.7718,69.4845,63.57,snips,ADB,0.25,0.4,1
64.0932,82.4724,64.5644,75.14,oos,DOC,0.25,1.0,0
81.8098,57.4322,81.594,73.14,oos,MSP,0.75,0.8,2
73.399,83.3085,73.5294,78.67,oos,DOC,0.5,0.2,0
40.5599,80.8877,41.0905,71.58,oos,OpenMax,0.5,0.4,0
72.2355,68.1638,70.8783,65.57,snips,ADB,0.25,0.6,1
81.4304,67.2414,81.3048,75.35,oos,DeepUnk,0.75,0.6,0
69.5185,70.0125,69.6832,65.86,snips,ADB,0.25,0.8,1
75.57600000000002,78.3022,75.6119,75.42,oos,DOC,0.5,0.4,0
82.5796,59.4642,82.375,74.16,oos,MSP,0.75,1.0,2
75.5853,77.3794,75.6089,74.84,oos,DOC,0.5,0.6,0
62.0834,85.10799999999998,62.3864,79.14,oos,OpenMax,0.5,0.6,0
72.9263,70.3896,72.0807,67.43,snips,ADB,0.25,1.0,1
43.8326,32.3247,41.9147,36.95,stackoverflow,MSP,0.25,0.2,2
82.4978,71.9515,82.4045,77.91,oos,DeepUnk,0.75,0.8,0
90.5191,81.5842,88.7321,86.71,snips,ADB,0.5,0.2,1
41.9195,18.3977,37.9992,30.28,stackoverflow,MSP,0.25,0.4,2
